week_start,sessions,total_distance_m,avg_distance_m,avg_pace_sec_per_100m,median_pace_sec_per_100m,avg_hr,avg_distance_per_stroke_m,avg_swolf
2026-03-16,4,12915.900344848633,3228.975086212158,98.27297189320127,94.6475605317042,,3.0018466542293134,
2026-03-23,6,17572.300186157227,2928.716697692871,137.54325035451842,136.88875842544206,,3.109663687772358,
2026-03-30,4,9870.84017944336,2467.71004486084,93.89082219474112,95.91847398862495,,3.212795965956584,
2026-04-06,4,11132.820297241211,2783.2050743103027,107.99212830678675,99.35494900451884,,2.818430385134588,
2026-04-13,3,9132.120147705078,3044.040049235026,103.52586131978374,101.14298167748757,,2.5152350704165634,
2026-04-20,4,16350.300064086914,4087.5750160217285,87.97948161142676,77.98438407663274,,4.4111620812245995,
2026-04-27,5,14264.640380859375,2852.928076171875,103.4131522954852,99.5989945199292,,2.8877375046828484,
2026-05-04,5,9052.560241699219,1810.5120483398437,113.7625075235092,103.44897952892744,,2.8999399576575597,
2026-05-11,4,10721.340286254883,2680.3350715637207,95.3419276813668,96.34673199086102,,2.860321472988294,
2026-05-18,2,4389.1201171875,2194.56005859375,157.6915315904173,157.6915315904173,,2.5524028076181464,
2026-05-25,3,9989.820266723633,3329.9400889078775,105.20386094296087,100.44160453777383,,3.2773481138781917,
2026-06-01,8,23565.900344848633,2945.737543106079,136.4891271416238,132.29721470128922,,2.6477093558636158,
2026-06-08,4,14934.640075683594,3733.6600189208984,116.75265374500242,117.05027365192814,,2.9773467067359904,
2026-06-15,4,15888.92007446289,3972.2300186157227,118.16457993420113,117.28895360567824,,2.9228731232833955,
